"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"5091","x","y","g","FALSE","f","FALSE","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","p"
"7181","k","s","n","FALSE","s","FALSE","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"6128","x","y","e","FALSE","f","FALSE","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"4586","x","f","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"6044","f","y","e","FALSE","y","FALSE","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"4052","x","f","p","FALSE","c","FALSE","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3947","x","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4831","f","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4942","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"5497","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p"
"5565","x","s","w","TRUE","f","FALSE","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","p"
"5162","x","s","b","TRUE","f","FALSE","c","b","p","t","b","f","s","w","w","p","w","o","p","h","v","p"
"7295","f","y","e","FALSE","y","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"6767","f","y","n","FALSE","s","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"6016","f","y","e","FALSE","f","FALSE","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p"
"4679","x","f","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4838","x","f","y","FALSE","f","FALSE","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"7775","x","s","n","FALSE","y","FALSE","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"506","x","s","n","TRUE","p","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","p"
"5105","x","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"3676","x","f","g","FALSE","f","FALSE","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"6252","x","s","e","FALSE","s","FALSE","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"5442","x","y","n","FALSE","s","FALSE","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"5731","f","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3982","x","f","p","FALSE","c","FALSE","w","n","p","e","b","s","s","w","w","p","w","o","p","k","v","p"
"5367","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","p"
"6042","f","y","e","FALSE","y","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
"4547","f","y","y","FALSE","f","FALSE","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"4164","x","y","y","FALSE","f","FALSE","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"4493","f","y","g","FALSE","f","FALSE","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4149","f","y","g","FALSE","f","FALSE","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3693","x","f","w","FALSE","c","FALSE","w","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3827","x","f","w","FALSE","c","FALSE","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"6178","f","s","e","FALSE","f","FALSE","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"5436","x","s","g","TRUE","f","FALSE","c","b","h","t","b","f","s","w","w","p","w","o","p","h","v","p"
"6257","f","y","e","FALSE","y","FALSE","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"3895","x","f","g","FALSE","f","FALSE","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"7857","k","s","e","FALSE","y","FALSE","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"6847","f","s","e","FALSE","y","FALSE","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p"
"7066","x","y","n","FALSE","m",NA,"c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","p"
"5415","f","y","y","FALSE","f","FALSE","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"5354","f","s","g","TRUE","f","FALSE","c","b","h","t","b","f","s","w","w","p","w","o","p","h","s","p"
"7505","k","s","e","FALSE","f","FALSE","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p"
